image_path,subject_id,gender,hand,finger,finger_index,category,alteration
data/raw/SOCOFing/Real/102__M_Right_ring_finger.BMP,102,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/102__M_Right_thumb_finger.BMP,102,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/103__F_Left_index_finger.BMP,103,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/103__F_Left_little_finger.BMP,103,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/103__F_Left_middle_finger.BMP,103,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/103__F_Left_ring_finger.BMP,103,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/103__F_Left_thumb_finger.BMP,103,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/103__F_Right_index_finger.BMP,103,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/103__F_Right_little_finger.BMP,103,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/103__F_Right_middle_finger.BMP,103,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/103__F_Right_ring_finger.BMP,103,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/103__F_Right_thumb_finger.BMP,103,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/104__M_Left_index_finger.BMP,104,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/104__M_Left_little_finger.BMP,104,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/104__M_Left_middle_finger.BMP,104,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/104__M_Left_ring_finger.BMP,104,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/104__M_Left_thumb_finger.BMP,104,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/104__M_Right_index_finger.BMP,104,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/104__M_Right_little_finger.BMP,104,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/104__M_Right_middle_finger.BMP,104,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/104__M_Right_ring_finger.BMP,104,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/104__M_Right_thumb_finger.BMP,104,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/105__M_Left_index_finger.BMP,105,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/105__M_Left_little_finger.BMP,105,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/105__M_Left_middle_finger.BMP,105,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/105__M_Left_ring_finger.BMP,105,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/105__M_Left_thumb_finger.BMP,105,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/105__M_Right_index_finger.BMP,105,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/105__M_Right_little_finger.BMP,105,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/105__M_Right_middle_finger.BMP,105,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/105__M_Right_ring_finger.BMP,105,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/105__M_Right_thumb_finger.BMP,105,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/106__M_Left_index_finger.BMP,106,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/106__M_Left_little_finger.BMP,106,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/106__M_Left_middle_finger.BMP,106,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/106__M_Left_ring_finger.BMP,106,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/106__M_Left_thumb_finger.BMP,106,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/106__M_Right_index_finger.BMP,106,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/106__M_Right_little_finger.BMP,106,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/106__M_Right_middle_finger.BMP,106,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/106__M_Right_ring_finger.BMP,106,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/106__M_Right_thumb_finger.BMP,106,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/107__M_Left_index_finger.BMP,107,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/107__M_Left_little_finger.BMP,107,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/107__M_Left_middle_finger.BMP,107,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/107__M_Left_ring_finger.BMP,107,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/107__M_Left_thumb_finger.BMP,107,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/107__M_Right_index_finger.BMP,107,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/107__M_Right_little_finger.BMP,107,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/107__M_Right_middle_finger.BMP,107,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/107__M_Right_ring_finger.BMP,107,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/107__M_Right_thumb_finger.BMP,107,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/108__M_Left_index_finger.BMP,108,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/108__M_Left_little_finger.BMP,108,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/108__M_Left_middle_finger.BMP,108,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/108__M_Left_ring_finger.BMP,108,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/108__M_Left_thumb_finger.BMP,108,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/108__M_Right_index_finger.BMP,108,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/108__M_Right_little_finger.BMP,108,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/108__M_Right_middle_finger.BMP,108,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/108__M_Right_ring_finger.BMP,108,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/108__M_Right_thumb_finger.BMP,108,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/109__F_Left_index_finger.BMP,109,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/109__F_Left_little_finger.BMP,109,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/109__F_Left_middle_finger.BMP,109,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/109__F_Left_ring_finger.BMP,109,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/109__F_Left_thumb_finger.BMP,109,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/109__F_Right_index_finger.BMP,109,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/109__F_Right_little_finger.BMP,109,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/109__F_Right_middle_finger.BMP,109,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/109__F_Right_ring_finger.BMP,109,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/109__F_Right_thumb_finger.BMP,109,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/10__M_Left_index_finger.BMP,10,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/10__M_Left_little_finger.BMP,10,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/10__M_Left_middle_finger.BMP,10,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/10__M_Left_ring_finger.BMP,10,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/10__M_Left_thumb_finger.BMP,10,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/10__M_Right_index_finger.BMP,10,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/10__M_Right_little_finger.BMP,10,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/10__M_Right_middle_finger.BMP,10,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/10__M_Right_ring_finger.BMP,10,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/10__M_Right_thumb_finger.BMP,10,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/110__F_Left_index_finger.BMP,110,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/110__F_Left_little_finger.BMP,110,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/110__F_Left_middle_finger.BMP,110,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/110__F_Left_ring_finger.BMP,110,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/110__F_Left_thumb_finger.BMP,110,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/110__F_Right_index_finger.BMP,110,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/110__F_Right_little_finger.BMP,110,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/110__F_Right_middle_finger.BMP,110,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/110__F_Right_ring_finger.BMP,110,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/110__F_Right_thumb_finger.BMP,110,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/111__M_Left_index_finger.BMP,111,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/111__M_Left_little_finger.BMP,111,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/111__M_Left_middle_finger.BMP,111,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/111__M_Left_ring_finger.BMP,111,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/111__M_Left_thumb_finger.BMP,111,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/111__M_Right_index_finger.BMP,111,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/111__M_Right_little_finger.BMP,111,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/111__M_Right_middle_finger.BMP,111,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/111__M_Right_ring_finger.BMP,111,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/111__M_Right_thumb_finger.BMP,111,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/112__M_Left_index_finger.BMP,112,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/112__M_Left_little_finger.BMP,112,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/112__M_Left_middle_finger.BMP,112,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/112__M_Left_ring_finger.BMP,112,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/112__M_Left_thumb_finger.BMP,112,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/112__M_Right_index_finger.BMP,112,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/112__M_Right_little_finger.BMP,112,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/112__M_Right_middle_finger.BMP,112,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/112__M_Right_ring_finger.BMP,112,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/112__M_Right_thumb_finger.BMP,112,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/113__M_Left_index_finger.BMP,113,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/113__M_Left_little_finger.BMP,113,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/113__M_Left_middle_finger.BMP,113,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/113__M_Left_ring_finger.BMP,113,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/113__M_Left_thumb_finger.BMP,113,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/113__M_Right_index_finger.BMP,113,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/113__M_Right_little_finger.BMP,113,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/113__M_Right_middle_finger.BMP,113,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/113__M_Right_ring_finger.BMP,113,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/113__M_Right_thumb_finger.BMP,113,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/114__F_Left_index_finger.BMP,114,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/114__F_Left_little_finger.BMP,114,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/114__F_Left_middle_finger.BMP,114,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/114__F_Left_ring_finger.BMP,114,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/114__F_Left_thumb_finger.BMP,114,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/114__F_Right_index_finger.BMP,114,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/114__F_Right_little_finger.BMP,114,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/114__F_Right_middle_finger.BMP,114,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/114__F_Right_ring_finger.BMP,114,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/114__F_Right_thumb_finger.BMP,114,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/115__F_Left_index_finger.BMP,115,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/115__F_Left_little_finger.BMP,115,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/115__F_Left_middle_finger.BMP,115,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/115__F_Left_ring_finger.BMP,115,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/115__F_Left_thumb_finger.BMP,115,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/115__F_Right_index_finger.BMP,115,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/115__F_Right_little_finger.BMP,115,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/115__F_Right_middle_finger.BMP,115,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/115__F_Right_ring_finger.BMP,115,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/115__F_Right_thumb_finger.BMP,115,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/116__M_Left_index_finger.BMP,116,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/116__M_Left_little_finger.BMP,116,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/116__M_Left_middle_finger.BMP,116,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/116__M_Left_ring_finger.BMP,116,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/116__M_Left_thumb_finger.BMP,116,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/116__M_Right_index_finger.BMP,116,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/116__M_Right_little_finger.BMP,116,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/116__M_Right_middle_finger.BMP,116,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/116__M_Right_ring_finger.BMP,116,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/116__M_Right_thumb_finger.BMP,116,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/117__F_Left_index_finger.BMP,117,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/117__F_Left_little_finger.BMP,117,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/117__F_Left_middle_finger.BMP,117,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/117__F_Left_ring_finger.BMP,117,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/117__F_Left_thumb_finger.BMP,117,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/117__F_Right_index_finger.BMP,117,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/117__F_Right_little_finger.BMP,117,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/117__F_Right_middle_finger.BMP,117,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/117__F_Right_ring_finger.BMP,117,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/117__F_Right_thumb_finger.BMP,117,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/118__F_Left_index_finger.BMP,118,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/118__F_Left_little_finger.BMP,118,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/118__F_Left_middle_finger.BMP,118,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/118__F_Left_ring_finger.BMP,118,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/118__F_Left_thumb_finger.BMP,118,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/118__F_Right_index_finger.BMP,118,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/118__F_Right_little_finger.BMP,118,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/118__F_Right_middle_finger.BMP,118,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/118__F_Right_ring_finger.BMP,118,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/118__F_Right_thumb_finger.BMP,118,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/119__F_Left_index_finger.BMP,119,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/119__F_Left_little_finger.BMP,119,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/119__F_Left_middle_finger.BMP,119,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/119__F_Left_ring_finger.BMP,119,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/119__F_Left_thumb_finger.BMP,119,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/119__F_Right_index_finger.BMP,119,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/119__F_Right_little_finger.BMP,119,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/119__F_Right_middle_finger.BMP,119,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/119__F_Right_ring_finger.BMP,119,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/119__F_Right_thumb_finger.BMP,119,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/11__M_Left_index_finger.BMP,11,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/11__M_Left_little_finger.BMP,11,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/11__M_Left_middle_finger.BMP,11,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/11__M_Left_ring_finger.BMP,11,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/11__M_Left_thumb_finger.BMP,11,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/11__M_Right_index_finger.BMP,11,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/11__M_Right_little_finger.BMP,11,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/11__M_Right_middle_finger.BMP,11,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/11__M_Right_ring_finger.BMP,11,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/11__M_Right_thumb_finger.BMP,11,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/120__M_Left_index_finger.BMP,120,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/120__M_Left_little_finger.BMP,120,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/120__M_Left_middle_finger.BMP,120,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/120__M_Left_ring_finger.BMP,120,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/120__M_Left_thumb_finger.BMP,120,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/120__M_Right_index_finger.BMP,120,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/120__M_Right_little_finger.BMP,120,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/120__M_Right_middle_finger.BMP,120,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/120__M_Right_ring_finger.BMP,120,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/120__M_Right_thumb_finger.BMP,120,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/121__F_Left_index_finger.BMP,121,Female,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/121__F_Left_little_finger.BMP,121,Female,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/121__F_Left_middle_finger.BMP,121,Female,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/121__F_Left_ring_finger.BMP,121,Female,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/121__F_Left_thumb_finger.BMP,121,Female,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/121__F_Right_index_finger.BMP,121,Female,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/121__F_Right_little_finger.BMP,121,Female,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/121__F_Right_middle_finger.BMP,121,Female,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/121__F_Right_ring_finger.BMP,121,Female,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/121__F_Right_thumb_finger.BMP,121,Female,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/122__M_Left_index_finger.BMP,122,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/122__M_Left_little_finger.BMP,122,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/122__M_Left_middle_finger.BMP,122,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/122__M_Left_ring_finger.BMP,122,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/122__M_Left_thumb_finger.BMP,122,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/122__M_Right_index_finger.BMP,122,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/122__M_Right_little_finger.BMP,122,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/122__M_Right_middle_finger.BMP,122,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/122__M_Right_ring_finger.BMP,122,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/122__M_Right_thumb_finger.BMP,122,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/123__M_Left_index_finger.BMP,123,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/123__M_Left_little_finger.BMP,123,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/123__M_Left_middle_finger.BMP,123,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/123__M_Left_ring_finger.BMP,123,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/123__M_Left_thumb_finger.BMP,123,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/123__M_Right_index_finger.BMP,123,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/123__M_Right_little_finger.BMP,123,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/123__M_Right_middle_finger.BMP,123,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/123__M_Right_ring_finger.BMP,123,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/123__M_Right_thumb_finger.BMP,123,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/124__M_Left_index_finger.BMP,124,Male,Left,index,Left_index,Real,none
